Name,Phone,Address,Website,Doordash,Instragram,Filename
AhiSushi Hibachi,(650) 369-2299,"1784 Broadway, Redwood City, CA 94063",http://www.ahisushihibachica.com,https://www.doordash.com/store/ahi-sushi-&-hibachi-redwood-city-2148/,,ahi_sushi_hibachi
Alhambra Irish House,(650) 366-4366,"831 Main St, Redwood City, CA 94063",http://alhambra-irish-house.com/,https://www.doordash.com/store/alhambra-irish-house-redwood-city-1074773/,@alhambra_irish_house,alhambra_irish_house
Angelicas,(650) 679-8184,"863 Main St, Redwood City, CA 94063",https://www.angelicasllc.com/,https://www.doordash.com/store/angelica's-redwood-city-2246/,@angelicasllc,angelicas
Arya Steakhouse,(650) 367-4939,"885 Middlefield Rd, Redwood City, CA 94063",http://www.aryasteakhouse.com/,https://www.doordash.com/store/arya-global-cuisine-redwood-city-3252/,@aryasteakhouse,arya_steakhouse
Bangkok Bay,(650) 365-5369,"825 El Camino Real, Redwood City, CA 94063",https://www.bangkokbay.com/,https://www.doordash.com/store/bangkok-bay-thai-cuisine-redwood-city-2151/,,bangkok_bay
Bravo Taqueria,(650) 364-3511,"980 Woodside Rd, Redwood City, CA 94061",,,,bravo_taqueria
Breaker's Cafe,(650) 369-9162,"270 Woodside Rd, Redwood City, CA 94061",,https://www.doordash.com/store/breakers-cafe-redwood-city-3394/,,breakers_cafe
Broadway Masala,(650) 369-9000,"2397 Broadway, Redwood City, CA 94063",http://broadwaymasala.net/,https://www.doordash.com/store/broadway-masala-redwood-city-2114/,@broadwaymasala,broadway_masala
Cafe La Tartine,(650) 474-2233,"830 Middlefield Rd, Redwood City, CA 94063",http://cafelatartine.com/,https://www.doordash.com/store/cafe-la-tartine-redwood-city-3362/5053/,@cafelatartine,cafe_la_tartine
Cariblue,(650) 315-1262,"1660 Broadway, Redwood City, CA 94063",http://www.caribluerestaurant.com/,,,cariblue
Chuck's Donuts,(650) 368-0161,"801 Woodside Rd, Redwood City, CA 94061",,https://www.doordash.com/store/chuck%E2%80%99s-donut-inc-redwood-city-484725/,@chucksdonuts,chucks_donuts
City Pub,(650) 363-2620,"2620 Broadway, Redwood City, CA 94063",https://www.citypub.com/,,,city_pub
Colombo’s Delicatessen,(650) 369-4235,"1453 Woodside Rd, Redwood City, CA 94061",,https://www.doordash.com/store/colombo's-delicatessen-redwood-city-900555/,@woodsidedelirwc,colombos
Coupa Cafe,(650) 741-0676,"695 Main Street, Redwood City, CA 94063",https://www.coupacafe.com/Locations/Redwood-City-Marston/,https://www.doordash.com/store/coupa-cafe-palo-alto-447/,@coupacafe,coupa_cafe
Crouching Tiger Restaurant,(650) 298-8881,"2640 Broadway, Redwood City, CA 94063",http://crouchingtigerrestaurant.com/,https://www.doordash.com/store/crouching-tiger-restaurant-redwood-city-2136/,,crouching_tiger
Cyclismo Cafe,(650) 362-3970,"871 Middlefield Road, Redwood City, CA 94063",https://www.cyclismocafe.com/,https://www.doordash.com/store/cyclismo-cafe-redwood-city-723468/,@cyclismocafe,cyclismo_cafe
Diner Japonica,(650) 364-4649,"593 Woodside Rd, Redwood City, CA 94061",,,,diner_japonica
El Grullense Grill,(650) 368-3325,"768 Woodside Rd, Redwood City, CA 94061",,https://www.doordash.com/store/el-grullense-grill-redwood-city-512206,,el_grullense_grill
German Haus Staudt,(650) 364-9232,"2615 Broadway, Redwood City, CA 94063",http://gourmethausstaudt.com/,,,german_haus_staudt
Go Fish Poke Bar,(650) 260-2066,"823 Hamilton St, Redwood City, CA 94063",http://www.gofishpokebar.com/,https://www.doordash.com/store/go-fish-poke-bar-redwood-city-70929/,@gofishpoke,go_fish_poke_bar
Guanato's Snacks,(650) 260-0099,"628 Woodside Rd, Redwood City, CA 94061",,https://www.doordash.com/store/guanatos-ice-cream-oakley-1488638/,@guanatossnacks.r.c,guanatos_snacks
Harry's Hofbrau,(650) 366-3733,"1909 El Camino RealRedwood City , CA 94063",https://www.harryshofbrau.com/location/redwood-city/,,@harryshofbraurwc,harrys_hofbrau
I Dumpling,(650) 568-9789,"2660 Broadway, Redwood City, CA 94063",http://www.idumplingca.com/?utm_source=gmb&utm_medium=website,https://www.doordash.com/store/i-dumpling-redwood-city-875095/,,i_dumpling
Ike's Lair,(650) 365-2200,"2655 Broadway, Redwood City, CA 94063",https://www.ikeslairofredwoodcity.com/,https://www.doordash.com/store/ike's-lair-redwood-city-2227/,@ikeslair,ikes_lair
Karlita's Taco Place,(650) 364-8612,"512 Woodside Rd, Redwood City, CA 94061",http://www.karlitastacos.com/,https://www.doordash.com/store/karlita%E2%80%99s-taco-place-redwood-city-1080540,@karlitastacoplacerwc,karlitas_taco_place
Kasa Indian Eatery,(650) 362-4599,"2086 Broadway, Redwood City, CA 94063",https://kasaindian.com/,https://www.doordash.com/store/kasa-indian-eatery-redwood-city-403271/,@kasaindian,kasa_indian_eatery
Kemuri Japanese Baru,(650) 257-7653,"2616 Broadway, Redwood City, CA 94063",http://kemuri-baru.com/,https://www.doordash.com/store/kemuri-japanese-baru-redwood-city-707794/,@kemurirwc,kemuri_japanese_baru
La Casita Chilanga,(650) 364-2789,"761 El Camino Real, Redwood City, CA 94063",https://lacasitachilanga.com/casita-chilanga,,@casitachilanga,la_casita_chilanga
La Cocina de la Abuela,(650) 362-3533,"314 Arguello St, Redwood City, CA 94063",https://www.lacocinadelaabuelaredwoocity.com/,https://www.doordash.com/store/la-cocina-de-la-abuela-redwood-city-1215680,@lacocinaabuela,la_cocina_de_la_abuela
La Viga,(650) 679-8141,"1772 Broadway, Redwood City, CA 94063",https://lavigaseafood.com/,https://www.doordash.com/store/la-viga-seafood-&-cocina-mexicana-redwood-city-2104/,@lavigaseafood,la_viga
Las Chiquitas,(650) 679-8259,"1798 Broadway, Redwood City, CA 94063",,https://www.doordash.com/store/las-chiquitas-redwood-city-1260898/,@chiquitas_redwood_city,las_chiquitas
LV Mar Tapas & Cocktails,(650) 241-3111,"2042 Broadway, Redwood City, CA 94063",https://lvmar.com/,https://www.doordash.com/store/lv-mar-redwood-city-2155/,@lvmarrwc,lv_mar
Mademoiselle Colette,(650) 260-2260,"2401 Broadway, Redwood City, CA 94063",https://www.mademoisellecolette.com/,https://www.doordash.com/store/mademoiselle-colette-redwood-city-764302/,@mademoiselle_colette,mademoiselle_colette
Margaritas,(650) 701-0709,"2098 Broadway, Redwood City, CA 94061",http://www.margaritasrwc.com/,https://www.doordash.com/store/margaritas-redwood-city-485154/,@officialmargaritasrwc,margaritas
Marufuku Ramen,(650) 257-3012,"865 Middlefield Rd, Redwood City, CA 94063",https://www.marufukuramen.com/,https://www.doordash.com/store/marufuku-ramen-redwood-redwood-city-1219484/,@marufukuramenofficial,marufuku
Masala Desi Cafe,(650) 474-2210,"2137 Roosevelt Ave, Redwood City, CA 94061",http://masaladesicafe.com/,,@masaladesicafe,masala_desi_cafe
May's,(650) 599-9413,"2088 Broadway, Redwood City, CA 94063",,https://www.doordash.com/store/may's-vietnamese-restaurant-redwood-city-1643971/,,mays
Mediterranean Delite,(650) 654-9172,"1620 El Camino Real San Carlos, CA 94070",http://www.meddelite.net/,https://www.doordash.com/store/mediterranean-delite-san-carlos-860426/,@mediterranean_delight308,mediterranean_delite
Milagros,(650) 369-4730,"1099 Middlefield Road, Redwood City, CA 94063",http://www.milagrosrc.com/,https://www.doordash.com/store/milagros-latin-kitchenredwood-city-2110,@milagrosredwoodcity,milagros
Nick The Greek,(650) 260-0081,"2034 Broadway, Redwood City, CA 94063",http://www.nickthegreeksj.com/,https://www.doordash.com/store/nick-the-greek-redwood-city-75866/,@nickthegreek,nick_the_greek
Nola,(650) 328-2722,"535 Ramona Street, Palo Alto, CA 94301",https://www.nolas.com/,https://www.doordash.com/store/nola-restaurant-palo-alto-232/,@nolapaloalto,nola
Old Port Lobster Shack,(650) 366-2400,"20 Woodside Rd, Redwood City, CA 94061",https://oldportlobster.com/,https://www.doordash.com/store/old-port-lobster-shack-redwood-city-2141/,@lobstershack,old_lobster_shack
Orenchi Ramen,(650) 537-9494,"2432 Broadway, Redwood City, CA 94063",http://orenchi-rc.com/,https://www.doordash.com/store/orenchi-redwood-city-622425/,@orenchiramen,orenchi_ramen
Otra Vez Mexican Kitchen,(650) 486-1330,"617 Laurel St, San Carlos, CA 94070",,https://www.doordash.com/store/otra-vez-mexican-restaurant-san-carlos-1801928/,@otravezsc,otra_vez
Pho Dong Restaurant,(650) 298-9900,"2610 Broadway, Redwood City, CA 94063",http://www.phodong.com/,https://www.doordash.com/store/pho-dong-restaurant-redwood-city-2233/,,pho_dong
Pylos,(650) 226-3652,"621 Laurel St, San Carlos, CA 94070",https://pylossc.com/,https://www.doordash.com/store/pylos-san-carlos-1220129/,@plyos_sc,pylos
Portobello Grill,(650) 299-9918,"875 Middlefield Rd, Redwood City, CA 94063",https://www.portobellogrill.online/,https://www.doordash.com/store/portobello-grill-redwood-city-6524/,@portobellogrill,portobello_grill
Quinto Sol,(650) 365-5765,"2201 Broadway, Redwood City, CA 94063",https://www.solrestaurantsca.com/quinto,,,quinto_sol
Ranzan,(650) 362-3660,"921 Main St, Redwood City, CA 94063",https://ranzan.business.site/,,,ranzan
Redwood City BBQ,(650) 365-3962,"640 Woodside Rd, Redwood City, CA 94061",https://www.redwoodcitybbq.com/,https://www.doordash.com/store/redwood-city-bbq-redwood-city-1841775/,@redwoodcitybbq,redwood_city_bbq
Redwood Grill,(650) 363-9343,"356 Woodside Rd, Redwood City, CA 94061",https://www.rwgrill.com/menu/lunch-dinner/,https://www.doordash.com/store/redwood-grill-redwood-city-71183/,@rwcgrill,redwood_grill
RocknWraps and Kabobs,(650) 299-9551,"2053 Broadway, B St, Redwood City, CA 94063",http://www.rocknwrapsredwoodcity.com/,,,rocknwraps
Rossotti's Alpine Inn,(650) 854-4004,"3915 Alpine Road, Portola Valley CA 94028",https://www.alpineinnpv.com/,,@alpineinnpv,alpine_inn
Sakura Teppanyaki & Sushi,(650) 368-0800,"2198 Broadway, Redwood City, CA 94063",http://www.sakurateppan.com/,https://www.doordash.com/store/sakura-teppanyaki-and-sushi-redwood-city-93529/,,sakura
Seoul Kitchen,(650)273-5858,"2639 Broadway, Redwood City, CA 94063",https://seoulkitchen.co/,https://www.doordash.com/store/seoul-kitchen-redwood-city-1562141/,@seoul_kitchen_rc,seoul_kitchen
Sushi Plus,(650) 261-0799,"30 Woodside Rd, Redwood City, CA 94061",https://www.sushiplus2012.com/,https://www.doordash.com/store/sushi-plus-redwood-city-783985/,@sushi_plus06,sushi_plus
Sushi Shin,(650) 257-7858,"312 Arguello St, Redwood City, CA 94063",http://sushishinredwoodcity.com/,,@sushishinredwood,sushi_shin
Tacos El Grullense,(650) 364-4320,"1243 Middlefield Rd, Redwood City, CA 94063",https://tacoselgrullense.net/tacos-el-grullense-%231,https://www.doordash.com/store/el-grullense-redwood-city-93451/,@tacoselgrullense_ee,tacos_el_grullense
Talk of Broadway,(650) 368-3295,"2096 Broadway, Redwood City, CA 94063",https://talkofbroadway.com/,https://www.doordash.com/store/talk-of-broadway-redwood-city-101972/,,talk_of_broadway
Taqueria Apatzingan,(650) 368-7224,"1515 Woodside Rd, Redwood City, CA 94063",,https://www.doordash.com/store/taqueria-apatzingan-redwood-city-1014780,,taqueria_apatzingan
Taza Deli & Cafe,(650) 257-3576,"1796 Broadway, Redwood City, CA 94063",,https://www.doordash.com/store/taza-deli-&-cafe-redwood-city-723467/,@tazadeli,taza_deli_&_cafe
The Hub RWC,(650) 364-3579,"2650 Broadway, Redwood City, CA 94063",http://www.thehubrwc.com/,,@thehubrwc,the_hub_rwc
The Patty Shack,(650) 364-1400,"909 Main St, Redwood City, CA 94063",,https://www.doordash.com/store/the-patty-shack-redwood-city-1344540/,@thepattyshack,the_patty_shack
The Sandwich Spot,(650) 299-1300,"2420 Broadway, Redwood City, CA 94063",http://www.thesandwichspotrwc.com/,https://www.doordash.com/store/the-sandwich-spot-redwood-city-redwood-city-2149,@thesandwichspotrwc,the_sandwich_spot
Timber & Salt,(650) 362-3777,"881 Middlefield Rd, Redwood City, CA 94063",http://www.timberandsalt.com/,https://www.doordash.com/store/timber-&-salt-redwood-city-913190,@timberandsaltrwc,timber_&_salt
Town,(650) 598-0119,"716 Laurel Street, San Carlos, CA 94070",https://www.townsc.com/,https://www.doordash.com/store/town-restaurant-san-carlos-1883/en-US,@townsancarlos,town
Venga Empanadas,(650) 549-8932,"822 Main St, Redwood City, CA 94063",http://www.vengaempanadas.com/,https://www.doordash.com/store/venga-empanadas-redwood-city-175206,@vengaempanadas,venga_empanadas
Vesta,(650) 362-5052,"2022 Broadway, Redwood City, CA 94063",https://www.vestarwc.com/,https://www.doordash.com/store/vesta-redwood-city-2103/,@vestarwc,vesta
Vino Santo Bistro,(650) 780-0793,"2030 Broadway, Redwood City, CA 94063",http://www.vinosantobistro.com/,https://www.doordash.com/store/vino-santo-bistro-redwood-city-2197,,vino_santo_bistro
Vivi's Cafe,(650) 298-8880,"764 Woodside Rd, Redwood City, CA 94061",http://www.viviscafe.net/,https://www.doordash.com/store/vivi's-cafe-redwood-city-177825/,,vivis_cafe
Vons Chicken,(650) 257-3451,"2090 Broadway, Redwood City, CA 94063",https://www.vonsredwoodcity.com/,https://www.doordash.com/store/vons-chicken-redwood-city-redwood-city-1136867/,@vonsredwoodcity,vons_chicken
Warung Siska,(650) 393-5515,"917 Main Street, Redwood City, CA 94063",https://www.warungsiska.com/menus/#main-menu,,@warungsiskarestaurant,warung_siska
West Park Farm and Sea,(650) 549-8620,"855 Middlefield Rd, Redwood City, CA 94063",http://westparkfarmandsea.com/,,@west_park_farmandsea,west_park_farm_and_sea
Yat Sing,(650) 368-8889,"38 Woodside Rd, Redwood City, CA 94061",http://www.yatsingrestaurant.com/,https://www.doordash.com/store/yat-sing-redwood-city-1415340/,,yat_sing
Yokohama,(650) 298-9011,"2050 Broadway, Redwood City, CA 94063",http://sushiyokohamarwc.com/,https://www.doordash.com/store/yokohama-redwood-city-2189/,,yokohama
Zadna,(650) 366-9600,"2653 Broadway, Redwood City, CA 94063",http://zadna1.com/,https://www.doordash.com/store/zadna-restaurant-redwood-city-63214/,@zadnabowl,zadna
Zareen's,(650) 747-6400,"2039 Broadway, Redwood City, CA 94063",https://www.zareensrestaurant.com/,https://www.doordash.com/store/zareen's-redwood-city-1225901/,@zareensrestaurant,zareens
